PassengerId,Survived,Pclass,Sex,SibSp,Parch,Age,Boarded,Destination,Class
1,0,3,male,1,0,22,Southampton,"Qu'Appelle Valley, Saskatchewan, Canada",3
2,1,1,female,1,0,35,Cherbourg,"New York, New York, US",1
3,1,3,female,0,0,26,Southampton,New York City,3
4,1,1,female,1,0,35,Southampton,"Scituate, Massachusetts, US",1
5,0,3,male,0,0,35,Southampton,New York City,3
6,0,3,male,0,0,22,Queenstown,New York City,3
7,0,1,male,0,0,54,Southampton,"Dorchester, Massachusetts, US",1
8,0,3,male,3,1,2,Southampton,"Chicago, Illinois, US",3
9,1,3,female,0,2,26,Southampton,"St. Charles, Illinois, US",3
10,1,2,female,1,0,14,Cherbourg,"Cleveland, Ohio, US",2
11,1,3,female,1,1,4,Southampton,"San Francisco, US",3
12,1,1,female,0,0,61,Southampton,"Youngstown, Ohio, US",1
13,0,3,male,0,0,19,Southampton,New York City,3
14,0,3,male,1,5,39,Southampton,"Winnipeg, Manitoba, Canada",3
15,0,3,female,0,0,14,Southampton,"Los Angeles, US",3
16,1,2,female,0,0,56,Southampton,"Rapid City, South Dakota, US",2
17,0,3,male,4,1,2,Queenstown,"Spokane, Washington, US",3
18,1,2,male,0,0,23,Southampton,"Chicago, Illinois, US",2
19,0,3,female,1,0,31,Southampton,"Fremont, Ohio, US",3
20,1,3,female,0,0,22,Cherbourg,"Michigan City, Indiana, US",3
21,0,2,male,0,0,35,Southampton,"Montreal, Quebec, Canada",2
22,1,2,male,0,0,34,Southampton,"Toronto, Ontario, Canada",2
23,1,3,female,0,0,16,Queenstown,"Chicago, Illinois, US",3
24,1,1,male,0,0,28,Southampton,"New Britain, Connecticut, US",1
25,0,3,female,3,1,8,Southampton,"Chicago, Illinois, US",3
26,1,3,female,1,5,38,Southampton,"Worcester, Massachusetts, US",3
27,0,3,male,0,0,25,Cherbourg,New York City,3
28,0,1,male,3,2,19,Southampton,"Winnipeg, Manitoba, Canada",1
29,1,3,female,0,0,25,Queenstown,New York City,3
30,0,3,male,0,0,23,Southampton,"Chicago, Illinois, US",3
31,0,1,male,0,0,40,Cherbourg,"Mexico City, Mexico",1
32,1,1,female,1,0,45,Cherbourg,"New York, New York, US",1
33,1,3,female,0,0,19,Queenstown,"Washington, DC, US",3
34,0,2,male,0,0,66,Southampton,"Edgewood, Rhode Island, US",2
35,0,1,male,1,0,28,Cherbourg,"New York, New York, US",1
36,0,1,male,1,0,42,Southampton,"New York, New York, US",1
37,1,3,male,0,0,20,Cherbourg,"Philadelphia, Pennsylvania, US",3
38,0,3,male,0,0,21,Southampton,New York City,3
39,0,3,female,2,0,18,Southampton,"Fremont, Ohio, US",3
40,1,3,female,1,0,14,Cherbourg,"Jacksonville, Florida, US",3
41,0,3,female,1,0,40,Southampton,"Akeley, Minnesota, US",3
42,0,2,female,1,0,27,Southampton,"Salt Lake City, Utah, US",2
44,1,2,female,1,2,3,Cherbourg,"Cap-Ha?ien, Haiti",2
45,1,3,female,0,0,19,Queenstown,New York City,3
46,0,3,male,0,0,29,Southampton,New York City,3
47,0,3,male,1,0,20,Queenstown,New York City,3
48,1,3,female,0,0,24,Queenstown,"Jersey City, New Jersey, US",3
49,0,3,male,2,0,16,Cherbourg,"Wilkes-Barre, Pennsylvania, US",3
50,0,3,female,1,0,18,Southampton,"New Glarus, Wisconsin, US",3
51,0,3,male,4,1,7,Southampton,"Coal Center, Pennsylvania, US",3
52,0,3,male,0,0,21,Southampton,"Buffalo, New York, US",3
53,1,1,female,1,0,49,Cherbourg,"New York, New York, US",1
54,1,2,female,1,0,29,Southampton,"Philadelphia, Pennsylvania, US",2
55,0,1,male,0,1,64,Southampton,"Providence, Rhode Island, US",1
56,1,1,male,0,0,45,Southampton,"New York, New York, US",1
57,1,2,female,0,0,21,Southampton,"Wilmington, Delaware, US",2
58,0,3,male,0,0,20,Cherbourg,"Ottawa, Ontario, Canada",3
59,1,2,female,1,2,4,Southampton,"Gainesville, Florida, US",2
60,0,3,male,5,2,13,Southampton,"Niagara Falls, New York, US",3
61,0,3,male,0,0,22,Cherbourg,"Brantford, Ontario, Canada",3
62,1,1,female,0,0,38,Southampton,"New York, New York, US",1
63,0,1,male,1,0,45,Southampton,"New York, New York, US",1
64,0,3,male,3,2,5,Southampton,"Iron Mountain, Michigan, US",3
65,0,1,male,0,0,54,Cherbourg,"Gallipolis, Ohio, US",1
66,1,3,male,1,1,7,Cherbourg,"Houtzdale, Pennsylvania, US",3
67,1,2,female,0,0,29,Southampton,"East Orange, New Jersey, US",2
68,0,3,male,0,0,19,Southampton,"Cleveland, Ohio, US",3
69,1,3,female,4,2,17,Southampton,New York City,3
70,0,3,male,2,0,26,Southampton,"Milwaukee, Wisconsin, US",3
71,0,2,male,0,0,32,Southampton,"Houghton, Michigan, US",2
72,0,3,female,5,2,16,Southampton,"Niagara Falls, New York, US",3
73,0,2,male,0,0,21,Southampton,"Manitoba, Canada",2
74,0,3,male,1,0,26,Cherbourg,New York City,3
75,1,3,male,0,0,32,Southampton,New York City,3
76,0,3,male,0,0,25,Southampton,"Minneapolis, Minnesota, US",3
77,0,3,male,0,0,23,Southampton,"Chicago, Illinois, US",3
78,0,3,male,0,0,28,Southampton,New York City,3
79,1,2,male,0,2,0.83,Southampton,"Roseville, Illinois, US",2
80,1,3,female,0,0,31,Southampton,New York City,3
81,0,3,male,0,0,22,Southampton,"Stanton, Ohio, US",3
82,1,3,male,0,0,29,Southampton,"Detroit, Michigan, US",3
83,1,3,female,0,0,31,Queenstown,"Chicago, Illinois, US",3
84,0,1,male,0,0,31,Southampton,"Montevideo, Uruguay",1
85,1,2,female,0,0,17,Southampton,"Atlanta, Georgia, US",2
86,1,3,female,3,0,33,Southampton,New York City,3
87,0,3,male,1,3,16,Southampton,"Essex County, New Jersey, US",3
88,0,3,male,0,0,20,Southampton,New York City,3
89,1,1,female,3,2,23,Southampton,"Winnipeg, Manitoba, Canada",1
90,0,3,male,0,0,24,Southampton,New York City,3
91,0,3,male,0,0,29,Southampton,New York City,3
92,0,3,male,0,0,20,Southampton,"Chicago, Illinois, US",3
93,0,1,male,1,0,46,Southampton,"Amenia, North Dakota, US",1
94,0,3,male,1,2,25,Southampton,"Wichita, Kansas, US",3
95,0,3,male,0,0,59,Southampton,"Merrill, Wisconsin, US",3
96,0,3,male,0,0,22,Southampton,"New York, US",3
97,0,1,male,0,0,71,Cherbourg,"New York, New York, US",1
98,1,1,male,0,1,23,Cherbourg,"New York, New York, US",1
99,1,2,female,0,1,34,Southampton,New York City,2
100,0,2,male,1,0,34,Southampton,"Bronx, New York, US",2
101,0,3,female,0,0,28,Southampton,"Harrisburg, Pennsylvania, US",3
102,0,3,male,0,0,29,Southampton,"Chicago, Illinois, US",3
103,0,1,male,0,1,21,Southampton,"Brunswick, Maine, US",1
104,0,3,male,0,0,33,Southampton,"Cheyenne, North Dakota, US",3
105,0,3,male,2,0,37,Southampton,New York City,3
106,0,3,male,0,0,28,Southampton,"Chicago, Illinois, US",3
107,1,3,female,0,0,21,Southampton,"Proctor, Minnesota, US",3
108,1,3,male,0,0,29,Southampton,New York City,3
109,0,3,male,0,0,38,Southampton,"Harrisburg, Pennsylvania, US",3
110,1,3,female,1,0,28,Queenstown,"Brooklyn, New York, US",3
111,0,1,male,0,0,46,Southampton,"Worcester, Massachusetts, US",1
112,0,3,female,1,0,16,Cherbourg,New York City,3
113,0,3,male,0,0,22,Southampton,New York City,3
114,0,3,female,1,0,20,Southampton,New York City,3
115,0,3,female,0,0,17,Cherbourg,New York City,3
116,0,3,male,0,0,21,Southampton,New York City,3
117,0,3,male,0,0,61,Queenstown,New York City,3
118,0,2,male,1,0,29,Southampton,"Salt Lake City, Utah, US",2
119,0,1,male,0,1,24,Cherbourg,"Montreal, Quebec, Canada",1
120,0,3,female,4,2,2,Southampton,"Winnipeg, Manitoba, Canada",3
121,0,2,male,2,0,20,Southampton,"The Pas, Manitoba, Canada",2
122,0,3,male,0,0,19,Southampton,"Hoboken, New Jersey, US",3
123,0,2,male,1,0,28,Cherbourg,"Cleveland, Ohio, US",2
124,1,2,female,0,0,37,Southampton,"Hartford, Connecticut, US",2
125,0,1,male,0,1,54,Southampton,"Brunswick, Maine, US",1
126,1,3,male,1,0,12,Cherbourg,"Jacksonville, Florida, US",3
127,0,3,male,0,0,20,Queenstown,New York City,3
128,1,3,male,0,0,24,Southampton,"Brooklyn, New York, US",3
129,1,3,female,1,1,2,Cherbourg,"Detroit, Michigan, US",3
130,0,3,male,0,0,45,Southampton,"Effington Rut, South Dakota, US",3
131,0,3,male,0,0,33,Cherbourg,New York City,3
132,0,3,male,0,0,20,Southampton,New York City,3
133,0,3,female,1,0,47,Southampton,"Yonkers, New York, US",3
134,1,2,female,1,0,37,Southampton,"Montreal, Quebec, Canada",2
135,0,2,male,0,0,25,Southampton,"Houghton, Michigan, US",2
136,0,2,male,0,0,23,Cherbourg,"Montreal, Quebec, Canada",2
137,1,1,female,0,2,19,Southampton,"New York, New York, US",1
138,0,1,male,1,0,37,Southampton,"Scituate, Massachusetts, US",1
139,0,3,male,0,0,16,Southampton,"Mitchell, South Dakota, US",3
140,0,1,male,0,0,24,Cherbourg,"New York, New York, US",1
141,0,3,female,0,2,40,Cherbourg,"Kent, British Columbia, Canada",3
142,1,3,female,0,0,22,Southampton,"Hackensack, New Jersey, US",3
143,1,3,female,1,0,24,Southampton,"Monessen, Pennsylvania, US",3
144,0,3,male,0,0,19,Queenstown,"Charlestown, US",3
145,0,2,male,0,0,17,Southampton,"Trenton, New Jersey, US",2
146,0,2,male,1,1,19,Southampton,"Houghton, Michigan, US",2
147,1,3,male,0,0,27,Southampton,"Chicago, Illinois, US",3
148,0,3,female,2,2,7,Southampton,"Essex County, New Jersey, US",3
149,0,2,male,0,2,32,Southampton,New York City,2
150,0,2,male,0,0,42,Southampton,"Jacksonville, Florida, US",2
151,0,2,male,0,0,51,Southampton,"Jacksonville, Florida, US",2
152,1,1,female,1,0,22,Southampton,"New York, New York, US",1
153,0,3,male,0,0,48,Southampton,"Washington, DC, US",3
154,0,3,male,0,2,35,Southampton,"North Wales, Pennsylvania, US",3
155,0,3,male,0,0,27,Southampton,"Broderick, Canada",3
156,0,1,male,0,1,51,Cherbourg,"Radnor, Pennsylvania, US",1
157,1,3,female,0,0,17,Queenstown,New York City,3
158,0,3,male,0,0,30,Southampton,New York City,3
159,0,3,male,0,0,37,Southampton,New York City,3
160,0,3,male,8,2,4,Southampton,"Jacksonville, Florida, US",3
161,0,3,male,0,1,44,Southampton,"Newark, New Jersey, US",3
162,1,2,female,0,0,40,Southampton,"Portland, Oregon, US",2
163,0,3,male,0,0,26,Southampton,"Monee, Illinois, US",3
164,0,3,male,0,0,17,Southampton,"Sault Ste. Marie, Michigan, US",3
165,0,3,male,4,1,1,Southampton,"Coal Center, Pennsylvania, US",3
166,1,3,male,0,2,9,Southampton,"Detroit, Michigan, US",3
167,1,1,female,0,1,48,Southampton,"New York, New York, US",1
168,0,3,female,1,4,43,Southampton,"Iron Mountain, Michigan, US",3
169,0,1,male,0,0,60,Cherbourg,"New York, New York, US",1
170,0,3,male,0,0,24,Southampton,New York City,3
171,0,1,male,0,0,61,Belfast,"Brooklyn, New York, US",1
172,0,3,male,4,1,4,Queenstown,"Spokane, Washington, US",3
173,1,3,female,1,1,1,Southampton,"St. Charles, Illinois, US",3
174,0,3,male,0,0,21,Southampton,"Mountain Home, Idaho, US",3
175,0,1,male,0,0,56,Cherbourg,"Long Island, New York, US",1
176,0,3,male,1,1,18,Southampton,New York City,3
177,0,3,male,3,1,5,Southampton,"Mystic, Iowa, US",3
178,0,1,female,0,0,50,Cherbourg,"Chicago, Illinois, US",1
179,0,2,male,0,0,30,Southampton,"Auburn, New York, US",2
180,0,3,male,0,0,36,Southampton,New York City,3
181,0,3,female,8,2,7,Southampton,"Jacksonville, Florida, US",3
182,0,2,male,0,0,39,Cherbourg,"New York, New York, US",1
183,0,3,male,4,2,9,Southampton,"Worcester, Massachusetts, US",3
184,1,2,male,2,1,1,Southampton,"Benton Harbor, Michigan, US",2
185,1,3,female,0,2,4,Southampton,"Milwaukee, Wisconsin, US",3
186,0,1,male,0,0,38,Southampton,"Seattle, Washington, US",1
187,1,3,female,1,0,26,Queenstown,New York City,3
188,1,1,male,0,0,45,Southampton,"New York, New York, US",1
189,0,3,male,1,1,42,Queenstown,"Chicago, Illinois, US",3
190,0,3,male,0,0,36,Southampton,"Youngstown, Ohio, US",3
191,1,2,female,0,0,21,Southampton,"Brooklyn, New York, US",2
192,0,2,male,0,0,19,Southampton,"Houghton, Michigan, US",2
193,1,3,female,1,0,19,Southampton,"Portland, Oregon, US",3
194,1,2,male,1,1,3,Southampton,New York City,2
195,1,1,female,0,0,44,Cherbourg,"Denver, Colorado, US",1
196,1,1,female,0,0,59,Cherbourg,"New York, New York, US",1
197,0,3,male,0,0,26,Queenstown,"Chicago, Illinois, US",3
198,0,3,male,0,1,42,Southampton,"Brooklyn, New York, US",3
199,1,3,female,0,0,21,Queenstown,New York City,3
200,0,2,female,0,0,24,Southampton,"Montreal, Quebec, Canada",2
201,0,3,male,0,0,28,Southampton,New York City,3
202,0,3,male,8,2,16,Southampton,"Jacksonville, Florida, US",3
203,0,3,male,0,0,34,Southampton,"Vancouver, British Columbia, Canada",3
204,0,3,male,0,0,45,Cherbourg,"Wilkes-Barre, Pennsylvania, US",3
205,1,3,male,0,0,18,Southampton,"Brooklyn, New York, US",3
206,0,3,female,0,1,2,Southampton,"Indiana Harbor, Indiana, US",3
207,0,3,male,1,0,32,Southampton,New York City,3
208,1,3,male,0,0,26,Cherbourg,"Fredericksburg, Virginia, US",3
209,1,3,female,0,0,16,Queenstown,New York City,3
210,1,1,male,0,0,39,Cherbourg,"Glen Ridge, New Jersey, US",1
211,0,3,male,0,0,24,Southampton,New York City,3
212,1,2,female,0,0,35,Southampton,"Mamaronek, New York, US",2
213,0,3,male,0,0,22,Southampton,"Saskatoon, Saskatchewan, Canada",3
214,0,2,male,0,0,30,Southampton,"San Francisco, California, US",2
215,0,3,male,1,0,22,Queenstown,"Jersey City, New Jersey, US",3
216,1,1,female,1,0,31,Cherbourg,"Lexington, Massachusetts, US",1
217,1,3,female,0,0,27,Southampton,New York City,3
218,0,2,male,1,0,40,Southampton,"Montreal, Quebec, Canada",2
219,1,1,female,0,0,36,Cherbourg,"Philadelphia, Pennsylvania, US",1
220,0,2,male,0,0,30,Southampton,New York City,2
221,1,3,male,0,0,20,Southampton,"Cleveland, Ohio, US",3
222,0,2,male,0,0,29,Southampton,"Lake Arthur, New Mexico, US",2
223,0,3,male,0,0,40,Southampton,"Lead, South Dakota, US",3
224,0,3,male,0,0,22,Southampton,"Coon Rapids, Iowa, US",3
225,1,1,male,1,0,35,Southampton,"Stamford, Connecticut, US",1
226,0,3,male,0,0,22,Southampton,New York City,3
227,1,2,male,0,0,19,Southampton,"Long Island, New York, US",2
228,0,3,male,0,0,20,Southampton,New York City,3
229,0,2,male,0,0,18,Southampton,"Bayonne, New Jersey, US",2
230,0,3,female,3,1,12,Southampton,"Mystic, Iowa, US",3
231,1,1,female,1,0,35,Southampton,"New York, New York, US",1
232,0,3,male,0,0,29,Southampton,"Hartford, Connecticut, US",3
233,0,2,male,0,0,30,Southampton,"Sault Ste Marie, Michigan, US",2
234,1,3,female,4,2,5,Southampton,"Worcester, Massachusetts, US",3
235,0,2,male,0,0,25,Southampton,New York City,2
236,0,3,female,0,0,21,Southampton,"New London, Connecticut, US",3
237,0,2,male,1,0,44,Southampton,"Sacramento, California, US",2
238,1,2,female,0,2,8,Southampton,"Payette, Idaho, US",2
239,0,2,male,0,0,19,Southampton,"Butte, Montana, US",2
240,0,2,male,0,0,33,Southampton,"Philadelphia, Pennsylvania, US",2
241,0,3,female,1,0,19,Cherbourg,New York City,3
242,1,3,female,1,0,18,Queenstown,"Philadelphia, Pennsylvania, US",3
243,0,2,male,0,0,29,Southampton,"Detroit, Michigan, US",2
244,0,3,male,0,0,22,Southampton,"Sudbury, Ontario, Canada",3
245,0,3,male,0,0,30,Cherbourg,"Ottawa, Ontario, Canada",3
246,0,1,male,2,0,44,Southampton,"Fond du Lac, Wisconsin, US",1
247,0,3,female,0,0,25,Southampton,"Saranac Lake, New York, US",3
248,1,2,female,0,2,24,Southampton,"Detroit, Michigan, US",2
249,1,1,male,1,1,37,Southampton,"New York, New York, US",1
250,0,2,male,1,0,54,Southampton,New York City,2
251,0,3,male,0,0,19,Southampton,New York City,3
252,0,3,female,1,1,29,Southampton,"Indiana Harbor, Indiana, US",3
253,0,1,male,0,0,62,Southampton,"New York, New York, US",1
254,0,3,male,1,0,30,Southampton,"Scranton, Pennsylvania, US",3
255,0,3,female,0,2,41,Southampton,"Astoria, Oregon, US",3
256,1,3,female,0,2,27,Cherbourg,"Dowagiac, Michigan, US",3
257,1,1,female,0,0,37,Cherbourg,"New York, New York, US",1
258,1,1,female,0,0,30,Southampton,"Vancouver, British Columbia, Canada",1
259,1,1,female,0,0,38,Cherbourg,"Germantown, Pennsylvania, US",1
260,1,2,female,0,1,60,Southampton,"Woodford County, Kentucky, US",2
261,0,3,male,0,0,26,Queenstown,"Hammond, Indiana, US",3
262,1,3,male,4,2,3,Southampton,"Worcester, Massachusetts, US",3
263,0,1,male,1,1,52,Southampton,"New York, New York, US",1
264,0,1,male,0,0,45,Southampton,"New York, New York, US",1
265,0,3,female,0,0,23,Queenstown,"Boston, Massachusetts, US",3
266,0,2,male,0,0,36,Southampton,New York City,2
267,0,3,male,4,1,16,Southampton,"Coal Center, Pennsylvania, US",3
268,1,3,male,1,0,25,Southampton,"Indianapolis, Indiana, US",3
269,1,1,female,0,1,59,Southampton,"Greenwich, Connecticut, US",1
270,1,1,female,0,0,39,Cherbourg,"New York, New York, US",1
271,0,1,male,0,0,28,Southampton,"Bryn Mawr, Pennsylvania, US",1
272,1,3,male,0,0,25,Southampton,New York City,3
273,1,2,female,0,1,41,Southampton,"Bennington, Vermont, US",2
274,0,1,male,0,1,36,Cherbourg,"Brooklyn, New York, US",1
275,1,3,female,0,0,29,Queenstown,New York City,3
276,1,1,female,1,0,62,Cherbourg,"Hudson, New York, US",1
277,0,3,female,0,0,45,Southampton,"Stratford, Connecticut, US",3
278,0,2,male,0,0,18,Belfast,New York City,2
279,0,3,male,4,1,7,Queenstown,"Spokane, Washington, US",3
280,1,3,female,1,1,39,Southampton,"East Providence, Rhode Island, US",3
281,0,3,male,0,0,65,Queenstown,"Morris Plains, New Jersey, US",3
282,0,3,male,0,0,28,Southampton,New York City,3
283,0,3,male,0,0,16,Southampton,"Gladstone, Michigan, US",3
284,1,3,male,0,0,18,Southampton,"Oglesby, Illinois, US",3
285,0,1,male,0,0,57,Southampton,"New York, New York, US",1
286,0,3,male,0,0,33,Cherbourg,New York City,3
287,1,3,male,0,0,36,Southampton,"Detroit, Michigan, US",3
288,0,3,male,0,0,22,Southampton,"Chicago, Illinois, US",3
289,1,2,male,0,0,41,Southampton,"Tokyo, Japan",2
290,1,3,female,0,0,22,Queenstown,New York City,3
291,1,1,female,0,0,26,Southampton,"New York, New York, US",1
292,1,1,female,1,0,19,Cherbourg,"Dowagiac, Michigan, US",1
293,0,2,male,0,0,36,Cherbourg,"Montreal, Quebec, Canada",2
294,0,3,female,0,0,24,Southampton,"Chicago, Illinois, US",3
295,0,3,male,0,0,24,Southampton,"Coon Rapids, Iowa, US",3
296,0,1,male,0,0,31,Cherbourg,"Chicago, Illinois, US",1
297,0,3,male,0,0,35,Cherbourg,"Ottawa, Ontario, Canada",3
298,0,1,female,1,2,2,Southampton,"Montreal, Quebec, Canada",1
299,1,1,male,0,0,47,Southampton,"New York, New York, US",1
300,1,1,female,0,1,50,Cherbourg,"Montreal, Quebec, Canada",1
301,1,3,female,0,0,20,Queenstown,"Chicago, Illinois, US",3
302,1,3,male,2,0,24,Queenstown,"Brooklyn, New York, US",3
303,0,3,male,0,0,19,Southampton,New York City,3
304,1,2,female,0,0,46,Queenstown,"Harrisburg, Pennsylvania, US",2
305,0,3,male,0,0,28,Southampton,New York City,3
307,1,1,female,0,0,42,Cherbourg,"Haverford, Pennsylvania, US",1
308,1,1,female,1,0,22,Cherbourg,"New York, New York, US",1
309,0,2,male,1,0,30,Cherbourg,"New York, New York, US",2
310,1,1,female,0,0,31,Cherbourg,"New York, New York, US",1
311,1,1,female,0,0,24,Cherbourg,"New York, New York, US",1
312,1,1,female,2,2,18,Cherbourg,"Cooperstown, New York, US",1
313,0,2,female,1,1,26,Southampton,"Minneapolis, Minnesota, US",2
314,0,3,male,0,0,28,Southampton,"Harrisburg, Pennsylvania, US",3
315,0,2,male,1,1,47,Southampton,"Winnipeg, Manitoba, Canada",2
316,1,3,female,0,0,26,Southampton,"Joliet, Illinois, US",3
317,1,2,female,1,0,24,Southampton,"Bronx, New York, US",2
318,0,2,male,0,0,54,Southampton,"Frankfort, Kentucky, US",2
319,1,1,female,0,2,31,Southampton,"Youngstown, Ohio, US",1
320,1,1,female,1,1,39,Cherbourg,"Tuxedo Park, New York, US",1
321,0,3,male,0,0,22,Southampton,"Saskatoon, Saskatchewan, Canada",3
322,0,3,male,0,0,27,Southampton,"Chicago, Illinois, US",3
323,1,2,female,0,0,30,Queenstown,"Vancouver, British Columbia, Canada",2
324,1,2,female,1,1,28,Southampton,"Roseville, Illinois, US",2
325,0,3,male,8,2,19,Southampton,"Jacksonville, Florida, US",3
326,1,1,female,0,0,36,Cherbourg,"New York, New York, US",1
327,0,3,male,0,0,61,Southampton,"Grand Forks, North Dakota, US",3
328,1,2,female,0,0,36,Southampton,"Jacksonville, Florida, US",2
329,1,3,female,1,1,31,Southampton,"Detroit, Michigan, US",3
330,1,1,female,0,1,17,Cherbourg,"Chicago, Illinois, US",1
331,1,3,female,2,0,29,Queenstown,"Brooklyn, New York, US",3
332,0,1,male,0,0,40,Southampton,"Toronto, Ontario, Canada",1
333,0,1,male,0,1,38,Southampton,"Winnipeg, Manitoba, Canada",1
334,0,3,male,2,0,15,Southampton,"Fremont, Ohio, US",3
335,1,1,female,1,0,42,Southampton,"New York, New York, US",1
336,0,3,male,0,0,30,Southampton,"Coon Rapids, Iowa, US",3
337,0,1,male,1,0,29,Southampton,"New York, New York, US",1
338,1,1,female,0,0,41,Cherbourg,"Tuxedo Park, New York, US",1
339,1,3,male,0,0,45,Southampton,"Fingal, North Dakota, US",3
340,0,1,male,0,0,45,Southampton,"Trenton, New Jersey, US",1
341,1,2,male,1,1,2,Southampton,New York City,2
342,1,1,female,3,2,24,Southampton,"Winnipeg, Manitoba, Canada",1
343,0,2,male,0,0,27,Southampton,"Ashtabula, Ohio, US",2
344,0,2,male,0,0,25,Southampton,"Minatitl?, Veracruz, Mexico",2
345,0,2,male,0,0,38,Southampton,"Rochester, New York, US",2
346,1,2,female,0,0,18,Southampton,"Montreal, Quebec, Canada",1
347,1,2,female,0,0,39,Southampton,"Washington, DC US",2
349,1,3,male,1,1,9,Southampton,"Brooklyn, New York, US",3
350,0,3,male,0,0,42,Southampton,"Red Lodge, Montana, US",3
351,0,3,male,0,0,23,Southampton,"Peoria, Illinois, US",3
352,0,1,male,0,0,43,Southampton,"Newark, New Jersey, US",1
353,0,3,male,1,1,17,Cherbourg,"Ottawa, Ontario, Canada",3
354,0,3,male,1,0,25,Southampton,"New Glarus, Wisconsin, US",3
355,0,3,male,0,0,25,Cherbourg,New York City,3
356,0,3,male,0,0,28,Southampton,New York City,3
357,1,1,female,0,1,22,Southampton,"New York, New York, US",1
358,0,2,female,0,0,38,Southampton,"Bally, Pennsylvania, US",2
359,1,3,female,0,0,22,Queenstown,New York City,3
360,1,3,female,0,0,23,Queenstown,New York City,3
361,0,3,male,1,4,40,Southampton,"Iron Mountain, Michigan, US",3
362,0,2,male,1,0,29,Cherbourg,"Chicago, Illinois, US",2
363,0,3,female,0,1,45,Cherbourg,"Ottawa, Ontario, Canada",3
364,0,3,male,0,0,35,Southampton,New York City,3
365,0,3,male,1,0,27,Queenstown,"Chicago, Illinois, US",3
366,0,3,male,0,0,30,Southampton,"Brooklyn, New York, US",3
367,1,1,female,1,0,60,Cherbourg,"Portland, Oregon, US",1
368,1,3,female,0,0,35,Cherbourg,"Wilkes-Barre, Pennsylvania, US",3
369,1,3,female,0,0,26,Queenstown,"East Lynn, Massachusetts, US",3
370,1,1,female,0,0,24,Cherbourg,"New York, New York, US",1
371,1,1,male,1,0,25,Cherbourg,"New York, New York, US",1
372,0,3,male,1,0,18,Southampton,"Montreal, Quebec, Canada",3
373,0,3,male,0,0,18,Southampton,"Russell, US",3
374,0,1,male,0,0,22,Cherbourg,"New York, New York, US",1
375,0,3,female,3,1,3,Southampton,"Chicago, Illinois, US",3
376,1,1,female,1,0,25,Cherbourg,"New York, New York, US",1
377,1,3,female,0,0,22,Southampton,New York City,3
378,0,1,male,0,2,27,Southampton,"Philadelphia, Pennsylvania, US",1
379,0,3,male,0,0,20,Cherbourg,"Waterbury, Connecticut, US",3
380,0,3,male,0,0,19,Southampton,"Aberdeen, South Dakota, US",3
